Question,Answer1,Points1,Answer2,Points2,Answer3,Points3,Answer4,Points4,Answer5,Points5
Name something people do while waiting in line.,Check phone,42,Talk,28,Read,15,Fidget,10,People watch,5
Name a reason someone might call a friend late at night.,Emergency,38,Can't sleep,28,Need to vent,18,Exciting news,12,Forgot time zones,4
Name something you might find at a picnic.,Sandwiches,40,Blanket,30,Drinks,15,Ants,10,Basket,5
Name a reason someone might wear sunglasses indoors.,Celebrity hiding,35,Hangover,28,Eye surgery,20,Looks cool,12,Light sensitivity,5
Name something people do to prepare for a job interview.,Research company,40,Pick outfit,30,Practice answers,18,Print resume,9,Get haircut,3
Name a place where you have to be quiet.,Library,45,Movie theater,28,Church,15,Hospital,9,Baby's room,3
Name something people buy at a convenience store.,Snacks,40,Drinks,32,Lottery tickets,15,Cigarettes,10,Gas,3
Name a reason someone might be crying happy tears.,Wedding,38,Birth of child,30,Graduation,18,Reunion,10,Won something,4
Name something you might find in a hotel room.,Bed,42,TV,30,Bible,15,Mini fridge,10,Towels,3
Name a profession where you wear a uniform.,Police officer,40,Nurse,28,Firefighter,18,Soldier,10,Chef,4
Name something people do on their lunch break.,Eat,48,Check phone,25,Take a walk,15,Run errands,9,Nap,3
Name a reason someone might go to the hospital.,Emergency,40,Giving birth,30,Surgery,18,Visit someone,9,Check up,3
Name something you might see at an airport.,Planes,45,Luggage,28,Security,15,Travelers,9,Shops,3
Name a reason someone might not answer their door.,Not home,40,Sleeping,28,In shower,18,Suspicious,10,Busy,4
Name something people take to the beach.,Towel,42,Sunscreen,30,Chair,15,Umbrella,10,Cooler,3
Name a reason someone might be walking slowly.,Injured,38,Old age,28,On phone,18,Window shopping,12,Tired,4
Name something you might find in a vending machine.,Chips,42,Candy,30,Soda,15,Water,10,Snacks,3
Name a holiday where people give gifts.,Christmas,48,Birthday,28,Valentine's Day,14,Hanukkah,7,Mother's Day,3
Name something people do at a barbecue.,Eat,45,Grill,30,Drink,15,Socialize,7,Play games,3
