Question,Answer1,Points1,Answer2,Points2,Answer3,Points3,Answer4,Points4,Answer5,Points5
Name something you might find in a woman's purse.,Lipstick,45,Wallet,32,Keys,18,Phone,3,Makeup,2
Name a reason why someone might be late for work.,Traffic,38,Overslept,25,Car trouble,18,Alarm didn't go off,12,Forgot something,7
Name something people do at a wedding.,Dance,42,Eat,28,Take pictures,15,Toast,10,Cry,5
Name something you might find in a refrigerator.,Milk,35,Eggs,28,Cheese,20,Leftovers,12,Butter,5
Name a place where people go to relax.,Beach,40,Spa,30,Park,15,Home,10,Vacation,5
Name something people are afraid of.,Spiders,38,Heights,25,Public speaking,18,Dark,12,Death,7
Name something you might do on a first date.,Go to dinner,40,See a movie,28,Go for a walk,18,Have coffee,10,Talk,4
Name something people do in the shower.,Sing,45,Wash hair,30,Think,15,Shave,7,Relax,3
Name something you might find in a garage.,Car,48,Tools,25,Bicycle,15,Lawn mower,8,Storage boxes,4
Name a reason someone might call in sick to work.,Actually sick,35,Need a day off,28,Family emergency,20,Tired,12,Hangover,5
Name something you might find in a bathroom.,Toilet,42,Toothbrush,30,Towel,18,Shampoo,8,Soap,2
Name something people do when they're bored.,Watch TV,40,Play games,28,Read,15,Scroll phone,12,Sleep,5
Name a type of pet people have.,Dog,45,Cat,38,Fish,10,Bird,5,Hamster,2
Name something you might find in a kitchen.,Stove,40,Refrigerator,35,Sink,15,Knife,7,Plate,3
Name something people do on vacation.,Relax,45,Go to beach,35,Take pictures,12,Eat out,6,Shop,2
Name something you might find in a bedroom.,Bed,48,Pillow,30,Dresser,15,Clothes,5,Lamp,2
Name a reason someone might get fired.,Poor performance,42,Being late,28,Stealing,18,Not showing up,8,Conflict,4
Name something people do at a party.,Dance,45,Eat,30,Drink,15,Socialize,7,Play games,3
Name something you might find in a car.,Seat,40,Steering wheel,35,Radio,15,Keys,7,Air freshener,3
Name something people do in the morning.,Wake up,45,Brush teeth,30,Shower,15,Eat breakfast,8,Check phone,2
Name something you might find in an office.,Computer,42,Desk,35,Chair,15,Phone,6,Printer,2
Name something people do at a restaurant.,Eat,45,Order food,30,Talk,12,Pay bill,8,Take pictures,5
Name something you might find in a garden.,Flowers,42,Vegetables,30,Soil,15,Watering can,10,Tools,3
Name a reason someone might be happy.,Got a promotion,38,Found love,28,Birthday,18,Good news,12,Won something,4
Name something people do when it's raining.,Stay inside,45,Use umbrella,30,Watch TV,15,Read,7,Complain,3
Name something you might find in a school.,Desk,40,Chalkboard,32,Books,18,Students,7,Teacher,3
Name a reason someone might be stressed.,Work,42,Money problems,28,Family issues,18,Deadline,9,Traffic,3
Name something people do on their birthday.,Celebrate,45,Eat cake,32,Get presents,15,Have party,6,Blow candles,2
Name something you might find in a library.,Books,48,Quiet,25,Chairs,15,Computers,9,Study area,3
Name a reason someone might be nervous.,Job interview,40,First date,28,Public speaking,20,Test,9,Meeting new people,3
Name something people do on weekends.,Relax,42,Go out,30,Watch TV,18,Exercise,7,Sleep in,3
Name something you might find in a wallet.,Money,45,Credit card,30,ID,15,Photos,7,Receipts,3
Name a reason someone might be excited.,Going on vacation,40,Getting married,28,New job,18,Birthday,11,Surprise,3
Name something people do at a concert.,Listen to music,45,Dance,30,Sing along,15,Take videos,7,Cheer,3
Name something you might find in a backpack.,Books,40,Laptop,32,Water bottle,15,Snacks,10,Pens,3
Name something people do at a sports game.,Cheer,45,Watch,30,Eat,15,Take photos,7,Stand up,3
Name something people do when they're angry.,Yell,40,Walk away,28,Complain,18,Cry,10,Take deep breaths,4
Name something you might find in a gym.,Weights,42,Treadmill,30,Exercise bike,15,Mirrors,10,Water fountain,3
Name a reason someone might be grateful.,Good health,38,Family,28,Job,18,Friends,12,Opportunities,4
Name something people do at a coffee shop.,Drink coffee,45,Work on laptop,28,Meet friends,15,Read,9,People watch,3
Name something you might find in a suitcase.,Clothes,45,Toiletries,28,Shoes,15,Books,9,Charger,3
Name a reason someone might be proud.,Graduation,40,Promotion,28,Children,18,Achievement,11,Accomplishment,3
Name something people do when they're tired.,Sleep,48,Rest,30,Yawn,12,Drink coffee,7,Complain,3
Name something you might find in a park.,Trees,40,Benches,30,Playground,18,Path,9,Grass,3
Name a reason someone might be confused.,Didn't understand,42,Too many options,28,Contradictory info,18,New situation/ concept,9,Language barrier,3
Name something people do at a movie theater.,Watch movie,48,Eat popcorn,30,Drink soda,12,Sit quietly,7,Check phone,3
Name something you might find in a closet.,Clothes,48,Shoes,25,Hangers,15,Storage boxes,9,Blankets,3
Name something people do before going to bed.,Brush teeth,42,Change clothes,30,Set alarm,15,Read,10,Check phone,3
Name something you might find in a junk drawer.,Batteries,40,Pens,28,Paper clips,18,Old keys,11,Rubber bands,3
Name something people do when they're procrastinating.,Watch TV,40,Scroll social media,28,Clean,18,Make excuses,11,Do anything else,3
Name something people do at a birthday party.,Sing happy birthday,45,Eat cake,32,Open presents,15,Play games,6,Take pictures,2
Name something you might find in a medicine cabinet.,Prescription bottles,42,Bandages,28,Toothpaste,18,First aid kit,9,Toiletries,3
Name a reason someone might be tired.,Stayed up late,40,Worked hard,28,Exercise,18,Stress,11,Long day,3
Name something people do when they're waiting.,Check phone,45,Look around,30,Sigh,15,Tap fingers,7,Complain,3
Name something you might find in a laundry basket.,Dirty clothes,48,Clean clothes,25,Towels,15,Sheets,9,Socks,3
Name a reason someone might be motivated.,Goal to achieve,40,Inspiration,28,Deadline,18,Competition,11,Success story,3
